Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.CB2_변전소출구2, 4.553924, 7.919861, 4.553924, 7.919861, 0, 0
Line.CB_변전소출구, 53.00547, 99.0101, 53.00547, 99.0101, 0, 0
Line.F2_SECTIONA, 2732.423, 4752.707, 2732.423, 4752.707, 0, 0
Line.F2_SECTIONB, 2599.393, 4248.058, 2599.393, 4248.058, 0, 0
Line.F2_SECTIONC, 1096.887, 1424.841, 1096.887, 1424.841, 0, 0
Line.F2_SECTIOND, 205.5604, -265.124, 205.5604, -265.124, 0, 0
Line.F2_SECTIONL1, 360.1979, -39.2821, 360.1979, -39.2821, 0, 0
Line.F2_SECTIONL2, 596.568, 18.47114, 596.568, 18.47114, 0, 0
Line.F2_SECTIONL3, 679.3438, 147.4636, 679.3438, 147.4636, 0, 0
Line.SECTION①, 26502.96, 49506.79, 26502.96, 49506.79, 0, 0
Line.SECTION②, 31757.01, 59197, 31757.01, 59197, 0, 0
Line.SECTION③, 29851.98, 55370.18, 29851.98, 55370.18, 0, 0
Line.SECTION④, 11570.15, 12808.15, 11570.15, 12808.15, 0, 0
Line.SECTION⑤, 20124.68, 22967, 20124.68, 22967, 0, 0
Line.SECTION⑥, 3761.437, 3850.364, 3761.437, 3850.364, 0, 0
Line.SECTION⑦, 1920.748, 1789.644, 1920.748, 1789.644, 0, 0
Line.SECTION⑧, 132.1413, -334.6098, 132.1413, -334.6098, 0, 0
Line.SECTION⑨, 7557.415, 8359.856, 7557.415, 8359.856, 0, 0
Line.SECTION⑩, 2381.876, 2339.403, 2381.876, 2339.403, 0, 0
Line.SECTION⑪, 838.996, 507.1087, 838.996, 507.1087, 0, 0
