Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"CN_변전소모선", 22.9, 1,    12918.6,   -1.8,    0.9771, 2,    12918.6, -121.8,    0.9771, 3,    12918.6,  118.2,    0.9771
"CN2_CB출력", 22.9, 1,    12918.5,   -1.8,    0.9771, 2,    12918.5, -121.8,    0.9771, 3,    12918.5,  118.2,    0.9771
"CN_CB출력", 22.9, 1,    12918.5,   -1.8,   0.97709, 2,    12918.5, -121.8,   0.97709, 3,    12918.5,  118.2,   0.97709
"CN2_간선1", 22.9, 1,    12902.3,   -1.9,   0.97587, 2,    12902.3, -121.9,   0.97587, 3,    12902.3,  118.1,   0.97587
"CN2_간선2", 22.9, 1,    12881.6,   -2.0,    0.9743, 2,    12881.6, -122.0,    0.9743, 3,    12881.6,  118.0,    0.9743
"CN2_간선3", 22.9, 1,    12868.7,   -2.0,   0.97333, 2,    12868.7, -122.0,   0.97333, 3,    12868.7,  118.0,   0.97333
"CN2_간선말단", 22.9, 1,    12863.2,   -2.1,   0.97291, 2,    12863.2, -122.1,   0.97291, 3,    12863.2,  117.9,   0.97291
"CN2_지선1말단", 22.9, 1,    12895.7,   -1.9,   0.97537, 2,    12895.7, -121.9,   0.97537, 3,    12895.7,  118.1,   0.97537
"CN2_지선2말단", 22.9, 1,    12871.2,   -2.0,   0.97352, 2,    12871.2, -122.0,   0.97352, 3,    12871.2,  118.0,   0.97352
"CN2_지선3말단", 22.9, 1,    12858.8,   -2.1,   0.97258, 2,    12858.8, -122.1,   0.97258, 3,    12858.8,  117.9,   0.97258
"CN_접속점1_고압A", 22.9, 1,    12871.8,   -2.0,   0.97356, 2,    12871.8, -122.0,   0.97356, 3,    12871.8,  118.0,   0.97356
"CN_접속점2_고압B", 22.9, 1,      12807,   -2.3,   0.96866, 2,      12807, -122.3,   0.96866, 3,      12807,  117.7,   0.96866
"CN_BRANCHPOINT1", 22.9, 1,    12729.5,   -2.6,    0.9628, 2,    12729.5, -122.6,    0.9628, 3,    12729.5,  117.4,    0.9628
"CN_좌측1_고압C_PV1", 22.9, 1,    12670.4,   -2.7,   0.95833, 2,    12670.4, -122.7,   0.95833, 3,    12670.4,  117.3,   0.95833
"CN_우측1_고압D_PV3", 22.9, 1,    12652.9,   -2.8,   0.95701, 2,    12652.9, -122.8,   0.95701, 3,    12652.9,  117.2,   0.95701
"CN_BRANCHPOINT2L", 22.9, 1,    12642.9,   -2.8,   0.95625, 2,    12642.9, -122.8,   0.95625, 3,    12642.9,  117.2,   0.95625
"CN_좌좌말단", 22.9, 1,    12625.9,   -2.8,   0.95497, 2,    12625.9, -122.8,   0.95497, 3,    12625.9,  117.2,   0.95497
"CN_좌우말단_PV2", 22.9, 1,    12637.8,   -2.8,   0.95586, 2,    12637.8, -122.8,   0.95586, 3,    12637.8,  117.2,   0.95586
"CN_BRANCHPOINT2R", 22.9, 1,    12615.1,   -2.9,   0.95415, 2,    12615.1, -122.9,   0.95415, 3,    12615.1,  117.1,   0.95415
"CN_우좌말단", 22.9, 1,    12596.2,   -2.9,   0.95272, 2,    12596.2, -122.9,   0.95272, 3,    12596.2,  117.1,   0.95272
"CN_우우말단_PV4", 22.9, 1,    12603.7,   -2.9,   0.95328, 2,    12603.7, -122.9,   0.95328, 3,    12603.7,  117.1,   0.95328
